Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
17.0,1.0,0.0,2.0,19.8337228079,7.0,,,,,,,2.9291955917,2.0
18.0,0.0,0.0,1.0,15.4087560558,0.0,,,,,,,3.0429148334,1.0
15.0,0.0,2.0,3.0,4.2105697688,26.0,,,,,,,0.1126022545,4.0
17.0,1.0,0.0,3.0,10.028829474,14.0,,,,,,,2.0542181397,3.0
17.0,1.0,0.0,2.0,4.672495273,17.0,,,,,,,1.2880611818,4.0
18.0,0.0,0.0,1.0,8.1912185453,0.0,,,,,,,3.0841836145,1.0
15.0,0.0,1.0,1.0,15.6016804747,10.0,,,,,,,2.7482374149,2.0
15.0,1.0,1.0,4.0,15.4244963058,22.0,,,,,,,1.3601427123,4.0
17.0,0.0,0.0,0.0,4.562007558,1.0,,,,,,,2.8968191895,2.0
16.0,1.0,0.0,1.0,18.4444663631,0.0,,,,,,,3.5734742103,0.0
17.0,0.0,0.0,1.0,11.8513636553,11.0,,,,,,,2.147171625,3.0
17.0,0.0,0.0,1.0,7.5984858192,15.0,,,,,,,1.559594519,4.0
17.0,0.0,1.0,1.0,10.0387116156,21.0,,,,,,,1.5200778149,4.0
17.0,0.0,1.0,2.0,12.1014250688,21.0,,,,,,,1.7515809583,4.0
18.0,1.0,0.0,1.0,11.1978106369,9.0,,,,,,,2.3967881171,3.0
15.0,0.0,0.0,2.0,9.7281007107,17.0,,,,,,,1.3415207165,4.0
18.0,0.0,3.0,1.0,10.0986560818,14.0,,,,,,,2.2321752777,3.0
18.0,1.0,0.0,0.0,3.5282382086,16.0,,,,,,,1.3844041757,4.0
18.0,0.0,1.0,3.0,16.2546580861,29.0,,,,,,,0.4695533234,4.0
17.0,0.0,0.0,1.0,10.8352063988,9.0,,,,,,,2.3957840945,3.0
16.0,1.0,0.0,3.0,2.6215972341,2.0,,,,,,,2.7784112999,2.0
15.0,0.0,0.0,2.0,15.3231420317,25.0,,,,,,,0.3468940367,4.0
16.0,1.0,1.0,0.0,18.6488795675,29.0,,,,,,,0.3125462305,4.0
18.0,1.0,3.0,4.0,18.9461379847,20.0,,,,,,,1.7701318768,4.0
18.0,1.0,0.0,1.0,7.3803546482,15.0,,,,,,,1.5051556220000002,4.0
16.0,1.0,0.0,3.0,2.7103374712,5.0,,,,,,,2.9778519183,2.0
16.0,0.0,0.0,1.0,10.3679925327,2.0,,,,,,,2.9487176719,2.0
16.0,1.0,0.0,3.0,2.252184587,8.0,,,,,,,2.1452047205,3.0
18.0,0.0,0.0,0.0,18.6797483703,10.0,,,,,,,2.854803929,2.0
18.0,0.0,0.0,2.0,3.6715925471,20.0,,,,,,,1.5194417258,4.0
15.0,0.0,2.0,2.0,5.055317199,12.0,,,,,,,1.7271203095,4.0
15.0,0.0,0.0,3.0,8.1327305377,17.0,,,,,,,1.8475354711,4.0
18.0,0.0,0.0,3.0,7.6632893712,25.0,,,,,,,0.3846169729,4.0
16.0,0.0,3.0,3.0,15.893257848,21.0,,,,,,,0.9494060978,4.0
16.0,0.0,0.0,3.0,9.126336411,27.0,,,,,,,1.1409594184,4.0
15.0,0.0,3.0,1.0,3.4153652001,23.0,,,,,,,0.2614722601,4.0
18.0,0.0,0.0,1.0,5.3441979097,26.0,,,,,,,0.2182848568,4.0
15.0,0.0,2.0,1.0,10.1822677038,21.0,,,,,,,1.067763551,4.0
15.0,1.0,1.0,1.0,2.9490783485,3.0,,,,,,,3.0189058584,1.0
17.0,1.0,2.0,1.0,12.2331135129,21.0,,,,,,,1.5268678318,4.0
17.0,1.0,3.0,2.0,11.314946131,23.0,,,,,,,1.0582873997,4.0
17.0,0.0,0.0,1.0,14.2940463276,7.0,,,,,,,2.6251280977,2.0
16.0,1.0,3.0,2.0,18.7540923076,12.0,,,,,,,2.808754822,2.0
18.0,1.0,0.0,1.0,18.245091222,9.0,,,,,,,2.8888916693,2.0
18.0,1.0,0.0,1.0,18.9215123614,1.0,,,,,,,4.0,0.0
18.0,0.0,0.0,2.0,4.8943119405,7.0,,,,,,,2.5153002723,2.0
18.0,0.0,1.0,2.0,2.6313061328,5.0,,,,,,,2.56376543,2.0
17.0,0.0,0.0,2.0,6.0455340099,15.0,,,,,,,1.7036118032,4.0
16.0,0.0,1.0,2.0,17.9017034553,17.0,,,,,,,2.0998851567,3.0
16.0,1.0,1.0,1.0,19.4410694925,16.0,,,,,,,2.4610469629,3.0
17.0,1.0,2.0,2.0,17.1864990214,5.0,,,,,,,2.9354771917,2.0
16.0,1.0,2.0,0.0,2.2003544226,12.0,,,,,,,1.9863780592,4.0
17.0,1.0,0.0,1.0,18.9485599612,22.0,,,,,,,1.5715441914,4.0
18.0,0.0,0.0,2.0,8.467160547,13.0,,,,,,,1.6643106897000002,4.0
17.0,0.0,0.0,0.0,0.1862058152,29.0,,,,,,,0.7562591666,4.0
18.0,0.0,0.0,1.0,8.847874815,25.0,,,,,,,0.8027695392,4.0
18.0,1.0,0.0,4.0,0.9213833935,20.0,,,,,,,1.342387178,4.0
15.0,0.0,0.0,4.0,10.8775584232,29.0,,,,,,,0.2865712883,4.0
17.0,0.0,0.0,1.0,6.7710805487,9.0,,,,,,,2.6138386937,2.0
15.0,1.0,3.0,0.0,9.4686986719,23.0,,,,,,,0.9290125546,4.0
17.0,1.0,1.0,1.0,12.2634072149,10.0,,,,,,,1.8927586959,4.0
17.0,0.0,0.0,1.0,17.3760219164,12.0,,,,,,,2.3312615493,3.0
15.0,0.0,1.0,3.0,13.2380315294,11.0,,,,,,,2.2342384726,3.0
15.0,0.0,0.0,1.0,8.6809773696,8.0,,,,,,,2.3858282191,3.0
17.0,0.0,0.0,2.0,16.3885570734,3.0,,,,,,,3.3473567435,1.0
16.0,0.0,1.0,1.0,18.1116427515,6.0,,,,,,,3.2618553073,1.0
18.0,0.0,0.0,4.0,2.3951993286,23.0,,,,,,,1.0396238791,4.0
15.0,1.0,0.0,1.0,10.6386595511,28.0,,,,,,,0.0278186247,4.0
18.0,1.0,3.0,2.0,5.6902391948,21.0,,,,,,,1.3299645379,4.0
16.0,1.0,2.0,1.0,0.9412239575,1.0,,,,,,,3.2839165219,1.0
16.0,0.0,1.0,2.0,13.3709339023,6.0,,,,,,,2.9374541823,2.0
16.0,1.0,1.0,1.0,17.2554155492,28.0,,,,,,,0.7388682028,4.0
15.0,0.0,1.0,1.0,3.2580530895,8.0,,,,,,,2.5568016628,2.0
16.0,0.0,0.0,3.0,16.2482731525,4.0,,,,,,,3.300928569,1.0
15.0,1.0,0.0,3.0,17.0679146707,14.0,,,,,,,2.2006829466,3.0
16.0,0.0,0.0,3.0,18.2868088533,17.0,,,,,,,1.8558655732,4.0
18.0,0.0,0.0,2.0,5.3057017817,3.0,,,,,,,2.7344014944,2.0
18.0,1.0,1.0,3.0,18.0790613038,18.0,,,,,,,2.1317372972,3.0
17.0,1.0,0.0,0.0,6.4132550947,19.0,,,,,,,0.9797699108,4.0
18.0,1.0,3.0,1.0,11.0467602691,25.0,,,,,,,0.9943250236,4.0
17.0,0.0,3.0,1.0,1.0101494166,6.0,,,,,,,2.0746999768,3.0
18.0,1.0,2.0,2.0,0.8776217674000001,25.0,,,,,,,0.5005080358,4.0
15.0,1.0,1.0,1.0,14.4074642546,7.0,,,,,,,2.5324384176,2.0
18.0,0.0,2.0,1.0,8.8895995596,16.0,,,,,,,1.4633780358,4.0
17.0,1.0,0.0,2.0,5.1258475074,12.0,,,,,,,2.3428367732,3.0
17.0,1.0,2.0,3.0,3.8082699205,23.0,,,,,,,1.1588463345,4.0
16.0,1.0,0.0,1.0,13.3990698172,20.0,,,,,,,1.5237487447,4.0
15.0,0.0,2.0,1.0,0.0080308805,27.0,,,,,,,0.0,4.0
18.0,0.0,0.0,1.0,16.1178233839,22.0,,,,,,,1.0586220144,4.0
16.0,0.0,2.0,1.0,1.5849921226,10.0,,,,,,,2.2297401842,3.0
18.0,0.0,3.0,1.0,3.8297922982,26.0,,,,,,,0.1947432807,4.0
18.0,1.0,0.0,2.0,7.724727906,0.0,,,,,,,3.5069200714,0.0
16.0,0.0,0.0,2.0,9.6971747943,1.0,,,,,,,3.5522869434,0.0
16.0,0.0,3.0,2.0,7.0999023163,16.0,,,,,,,2.2384913543,3.0
16.0,1.0,0.0,1.0,6.4142432997,4.0,,,,,,,2.7084723439,2.0
16.0,1.0,2.0,3.0,19.2783202415,29.0,,,,,,,0.7329082339,4.0
16.0,1.0,1.0,1.0,12.8315936249,29.0,,,,,,,0.9654824453,4.0
18.0,0.0,0.0,2.0,0.4686591073,5.0,,,,,,,2.5552328599000003,2.0
16.0,0.0,0.0,3.0,8.603518168899999,25.0,,,,,,,0.7443222999,4.0
15.0,0.0,0.0,1.0,17.5001739949,24.0,,,,,,,0.7220565814000001,4.0
17.0,1.0,2.0,1.0,6.0291237282,23.0,,,,,,,1.2712295298,4.0
16.0,1.0,0.0,3.0,1.8911268955,6.0,,,,,,,2.5261421414000003,2.0
16.0,0.0,1.0,1.0,15.1676954318,27.0,,,,,,,0.9424153954,4.0
18.0,1.0,0.0,2.0,12.1202766387,20.0,,,,,,,1.5156390984,4.0
16.0,1.0,1.0,0.0,11.4062501565,29.0,,,,,,,0.6482739267000001,4.0
16.0,1.0,2.0,2.0,1.0715311921,14.0,,,,,,,2.0488500821,3.0
16.0,0.0,3.0,1.0,2.8099801959,18.0,,,,,,,0.8422959993,4.0
18.0,1.0,0.0,0.0,12.4509879243,15.0,,,,,,,1.4641879237,4.0
16.0,1.0,2.0,2.0,4.1564768292,24.0,,,,,,,1.4879468652,4.0
17.0,0.0,2.0,1.0,10.081401595,12.0,,,,,,,2.5875657964,2.0
18.0,0.0,1.0,1.0,10.8976337206,4.0,,,,,,,3.2208069782,1.0
17.0,1.0,3.0,0.0,5.6701438054,2.0,,,,,,,3.5451594318,0.0
18.0,1.0,0.0,1.0,18.9685031108,2.0,,,,,,,3.0895989531,1.0
16.0,0.0,0.0,1.0,16.8492821367,18.0,,,,,,,1.9199564399,4.0
17.0,0.0,2.0,0.0,14.4474701527,13.0,,,,,,,2.1985931846,3.0
18.0,1.0,0.0,3.0,1.5598773282,15.0,,,,,,,0.8782126168000001,4.0
15.0,1.0,2.0,0.0,2.1226003862,21.0,,,,,,,1.3403686475,4.0
16.0,1.0,2.0,2.0,9.8556269173,16.0,,,,,,,1.8195113357,4.0
18.0,1.0,0.0,1.0,3.2142669838,26.0,,,,,,,0.6193509315,4.0
15.0,0.0,2.0,1.0,19.5653092706,3.0,,,,,,,3.6194608697,0.0
